 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
    +129	 +0.3573683551130221E+004	 +0.1860039973623805E+002	 -0.3702218846566909E+000	 +0.3555083151393983E+004	
    +130	 +0.4070646422604947E+004	 +0.1554947616225595E+005	 -0.4478207549405158E+000	 +0.0000000000000000E+000	
    +131	 +0.3747076121292988E+004	 +0.4780383974210653E+005	 -0.4512351337948215E+000	 +0.0000000000000000E+000	
    +132	 +0.3499381651474695E+004	 +0.4159278977465050E+005	 -0.4860350327872709E+000	 +0.0000000000000000E+000	
    +133	 +0.3278285775062567E+004	 +0.8238718748195270E+005	 -0.4960003593978651E+000	 +0.0000000000000000E+000	
    +134	 +0.3017734178109095E+004	 +0.8218134793359193E+005	 -0.5047104522964401E+000	 +0.0000000000000000E+000	
    +135	 +0.2931399417119231E+004	 +0.7561062582298640E+005	 -0.4998044974779955E+000	 +0.0000000000000000E+000	
    +136	 +0.2881169970068267E+004	 +0.5897346157898520E+005	 -0.5074956245896306E+000	 +0.0000000000000000E+000	
    +137	 +0.3001511413718917E+004	 +0.2428518985091281E+005	 -0.5100920913550686E+000	 +0.0000000000000000E+000	
    +138	 +0.2405046394586975E+004	 +0.1848957071893535E+002	 -0.5229934451823850E+000	 +0.2386556823868039E+004	
    +139	 +0.2741414764107044E+004	 +0.0000000000000000E+000	 -0.5261997479835920E+000	 +0.2741414764107044E+004	
    +140	 +0.2692077664134168E+004	 +0.0000000000000000E+000	 -0.5341264655523981E+000	 +0.2692077664134168E+004	
    +141	 +0.2797678783951039E+004	 +0.0000000000000000E+000	 -0.5340376448848149E+000	 +0.2797678783951039E+004	
    +142	 +0.2878224497225627E+004	 +0.0000000000000000E+000	 -0.5387177869969739E+000	 +0.2878224497225627E+004	
    +143	 +0.2952004217536427E+004	 +0.0000000000000000E+000	 -0.5390906728777367E+000	 +0.2952004217536427E+004	
    +144	 +0.2951627424638346E+004	 +0.0000000000000000E+000	 -0.4495266404639064E+000	 +0.2951627424638346E+004	
    +145	 +0.3010757061133454E+004	 +0.0000000000000000E+000	 -0.4107573739395232E+000	 +0.3010757061133454E+004	
    +146	 +0.3064871430282930E+004	 +0.0000000000000000E+000	 -0.3764749734804783E+000	 +0.3064871430282930E+004	
    +147	 +0.3108719385015133E+004	 +0.0000000000000000E+000	 -0.3615280820143030E+000	 +0.3108719385015133E+004	
    +148	 +0.3155665523646964E+004	 +0.0000000000000000E+000	 -0.3498463123168474E+000	 +0.3155665523646964E+004	
    +149	 +0.3177090181674187E+004	 +0.0000000000000000E+000	 -0.3419755586951346E+000	 +0.3177090181674187E+004	
    +150	 +0.3209145114836255E+004	 +0.0000000000000000E+000	 -0.3341042447750439E+000	 +0.3209145114836255E+004	
    +151	 +0.3229966964992308E+004	 +0.0000000000000000E+000	 -0.3267854680723438E+000	 +0.3229966964992308E+004	
    +152	 +0.3319451737314130E+004	 +0.0000000000000000E+000	 -0.3204822661417874E+000	 +0.3319451737314130E+004	
    +153	 +0.3457415744544352E+004	 +0.3853347401792453E+002	 -0.4075546470663287E+000	 +0.3418882270526428E+004	
    +154	 +0.3324645629834238E+004	 +0.1620267250300251E+004	 -0.4820662933958445E+000	 +0.1704378379533987E+004	
    +155	 +0.3788445526511693E+004	 +0.1027914781779930E+005	 -0.4892890155012961E+000	 +0.0000000000000000E+000	
    +156	 +0.2777975111002364E+004	 +0.1026277965694897E+005	 -0.4906807333244463E+000	 +0.0000000000000000E+000	
    +157	 +0.3259694007909409E+004	 +0.2807768556704677E+005	 -0.4941506706979351E+000	 +0.0000000000000000E+000	
    +158	 +0.3066840189658407E+004	 +0.3032943610833959E+005	 -0.4926649236522304E+000	 +0.0000000000000000E+000	
    +159	 +0.3012739286133929E+004	 +0.3194488565183471E+005	 -0.4927189356618045E+000	 +0.0000000000000000E+000	
    +160	 +0.2954288108627277E+004	 +0.3170735197780448E+005	 -0.5002952824849390E+000	 +0.0000000000000000E+000	
    +161	 +0.2968702030443356E+004	 +0.2843493668247284E+005	 -0.5040006248560904E+000	 +0.0000000000000000E+000	
    +162	 +0.2483637331676387E+004	 +0.1846619619292685E+002	 -0.5117947088590776E+000	 +0.2465171135483461E+004	
    +163	 +0.2610128726622597E+004	 +0.0000000000000000E+000	 -0.5092334011253712E+000	 +0.2610128726622597E+004	
    +164	 +0.2547156609732968E+004	 +0.0000000000000000E+000	 -0.5108803721998953E+000	 +0.2547156609732968E+004	
